t,outcome,"Static(0.5)_belief","Static(0.5)_brier","Static(0.5)_log","Bayes(1,1)_belief","Bayes(1,1)_brier","Bayes(1,1)_log","MLE_belief","MLE_brier","MLE_log"
173,1,0.5,0.75,-0.693147,0.52,0.7696,-0.653926,0.520231,0.769822,-0.653482
174,1,0.5,0.75,-0.693147,0.522727,0.772211,-0.648695,0.522989,0.77246,-0.648196
175,0,0.5,0.75,-0.693147,0.525424,0.72393,-0.745333,0.525714,0.723624,-0.745945
176,1,0.5,0.75,-0.693147,0.522472,0.771967,-0.649184,0.522727,0.772211,-0.648695
177,0,0.5,0.75,-0.693147,0.52514,0.724228,-0.744735,0.525424,0.72393,-0.745333
178,0,0.5,0.75,-0.693147,0.522222,0.727284,-0.73861,0.522472,0.727023,-0.739132
179,0,0.5,0.75,-0.693147,0.519337,0.730289,-0.732589,0.519553,0.730065,-0.733039
180,0,0.5,0.75,-0.693147,0.516484,0.733245,-0.72667,0.516667,0.733056,-0.727049
181,1,0.5,0.75,-0.693147,0.513661,0.763475,-0.666191,0.513812,0.763621,-0.665898
182,0,0.5,0.75,-0.693147,0.516304,0.73343,-0.726299,0.516484,0.733245,-0.72667
183,0,0.5,0.75,-0.693147,0.513514,0.736304,-0.720546,0.513661,0.736152,-0.72085
184,1,0.5,0.75,-0.693147,0.510753,0.760637,-0.67187,0.51087,0.760751,-0.671641
185,1,0.5,0.75,-0.693147,0.513369,0.76319,-0.66676,0.513514,0.763331,-0.666479
186,0,0.5,0.75,-0.693147,0.515957,0.733788,-0.725582,0.516129,0.733611,-0.725937
187,0,0.5,0.75,-0.693147,0.513228,0.736598,-0.719958,0.513369,0.736452,-0.720249
188,1,0.5,0.75,-0.693147,0.510526,0.760416,-0.672313,0.510638,0.760525,-0.672094
189,0,0.5,0.75,-0.693147,0.513089,0.73674,-0.719674,0.513228,0.736598,-0.719958
190,0,0.5,0.75,-0.693147,0.510417,0.739475,-0.714201,0.510526,0.739363,-0.714425
191,0,0.5,0.75,-0.693147,0.507772,0.742168,-0.708813,0.507853,0.742085,-0.708979
192,0,0.5,0.75,-0.693147,0.505155,0.744819,-0.70351,0.505208,0.744765,-0.703618
193,1,0.5,0.75,-0.693147,0.502564,0.752558,-0.688032,0.502591,0.752584,-0.687979
194,1,0.5,0.75,-0.693147,0.505102,0.755076,-0.682995,0.505155,0.755128,-0.682891
195,0,0.5,0.75,-0.693147,0.507614,0.742328,-0.708493,0.507692,0.742249,-0.708651
196,0,0.5,0.75,-0.693147,0.505051,0.744924,-0.7033,0.505102,0.744872,-0.703404
197,0,0.5,0.75,-0.693147,0.502513,0.747481,-0.698185,0.502538,0.747455,-0.698236
198,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
199,0,0.5,0.75,-0.693147,0.502488,0.747506,-0.698135,0.502513,0.747481,-0.698185
200,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
201,0,0.5,0.75,-0.693147,0.497537,0.752457,-0.688233,0.497512,0.752481,-0.688184
202,0,0.5,0.75,-0.693147,0.495098,0.754878,-0.683391,0.49505,0.754926,-0.683295
203,0,0.5,0.75,-0.693147,0.492683,0.757264,-0.678619,0.492611,0.757335,-0.678477
204,0,0.5,0.75,-0.693147,0.490291,0.759614,-0.673916,0.490196,0.759708,-0.673729
205,1,0.5,0.75,-0.693147,0.487923,0.737777,-0.717598,0.487805,0.737656,-0.71784
206,0,0.5,0.75,-0.693147,0.490385,0.759523,-0.674099,0.490291,0.759614,-0.673916
207,0,0.5,0.75,-0.693147,0.488038,0.761819,-0.669505,0.487923,0.761931,-0.66928
208,1,0.5,0.75,-0.693147,0.485714,0.73551,-0.722135,0.485577,0.735369,-0.722418
209,1,0.5,0.75,-0.693147,0.488152,0.738011,-0.717129,0.488038,0.737895,-0.717361
210,1,0.5,0.75,-0.693147,0.490566,0.740477,-0.712195,0.490476,0.740385,-0.712379
211,1,0.5,0.75,-0.693147,0.492958,0.742908,-0.707332,0.492891,0.74284,-0.707467
212,0,0.5,0.75,-0.693147,0.495327,0.754651,-0.683845,0.495283,0.754695,-0.683757
213,1,0.5,0.75,-0.693147,0.493023,0.742975,-0.707199,0.492958,0.742908,-0.707332
214,1,0.5,0.75,-0.693147,0.49537,0.745349,-0.70245,0.495327,0.745305,-0.702537
215,1,0.5,0.75,-0.693147,0.497696,0.747691,-0.697766,0.497674,0.747669,-0.697809
216,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
217,1,0.5,0.75,-0.693147,0.502283,0.752278,-0.688591,0.502304,0.752299,-0.688549
218,0,0.5,0.75,-0.693147,0.504545,0.745434,-0.70228,0.504587,0.745392,-0.702364
219,0,0.5,0.75,-0.693147,0.502262,0.747732,-0.697682,0.502283,0.747712,-0.697724
220,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
221,0,0.5,0.75,-0.693147,0.502242,0.747753,-0.697642,0.502262,0.747732,-0.697682
222,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
223,0,0.5,0.75,-0.693147,0.497778,0.752217,-0.688713,0.497758,0.752237,-0.688673
224,1,0.5,0.75,-0.693147,0.495575,0.745556,-0.702036,0.495536,0.745516,-0.702116
225,0,0.5,0.75,-0.693147,0.497797,0.752198,-0.688752,0.497778,0.752217,-0.688713
226,0,0.5,0.75,-0.693147,0.495614,0.754367,-0.684414,0.495575,0.754405,-0.684337
227,1,0.5,0.75,-0.693147,0.49345,0.743407,-0.706334,0.493392,0.743348,-0.706451
228,0,0.5,0.75,-0.693147,0.495652,0.754329,-0.684489,0.495614,0.754367,-0.684414
229,1,0.5,0.75,-0.693147,0.493506,0.743464,-0.706219,0.49345,0.743407,-0.706334
230,1,0.5,0.75,-0.693147,0.49569,0.745671,-0.701805,0.495652,0.745633,-0.701881
231,0,0.5,0.75,-0.693147,0.497854,0.752141,-0.688865,0.497835,0.75216,-0.688828
232,0,0.5,0.75,-0.693147,0.495726,0.754255,-0.684636,0.49569,0.754292,-0.684563
233,0,0.5,0.75,-0.693147,0.493617,0.756342,-0.680462,0.493562,0.756396,-0.680354
234,1,0.5,0.75,-0.693147,0.491525,0.741454,-0.710242,0.491453,0.74138,-0.710389
235,1,0.5,0.75,-0.693147,0.493671,0.743631,-0.705886,0.493617,0.743576,-0.705995
236,0,0.5,0.75,-0.693147,0.495798,0.754184,-0.684779,0.495763,0.754219,-0.684708
237,0,0.5,0.75,-0.693147,0.493724,0.756237,-0.680673,0.493671,0.756289,-0.680568
238,1,0.5,0.75,-0.693147,0.491667,0.741597,-0.709954,0.491597,0.741526,-0.710097
239,0,0.5,0.75,-0.693147,0.493776,0.756185,-0.680776,0.493724,0.756237,-0.680673
240,1,0.5,0.75,-0.693147,0.491736,0.741667,-0.709814,0.491667,0.741597,-0.709954
241,1,0.5,0.75,-0.693147,0.493827,0.743789,-0.70557,0.493776,0.743737,-0.705673
242,0,0.5,0.75,-0.693147,0.495902,0.754082,-0.684984,0.495868,0.754115,-0.684917
243,0,0.5,0.75,-0.693147,0.493878,0.756085,-0.680977,0.493827,0.756135,-0.680877
244,0,0.5,0.75,-0.693147,0.49187,0.758064,-0.677018,0.491803,0.75813,-0.676887
245,1,0.5,0.75,-0.693147,0.489879,0.739776,-0.713598,0.489796,0.739692,-0.713766
246,0,0.5,0.75,-0.693147,0.491935,0.757999,-0.677147,0.49187,0.758064,-0.677018
247,0,0.5,0.75,-0.693147,0.48996,0.759939,-0.673266,0.489879,0.760019,-0.673106
248,0,0.5,0.75,-0.693147,0.488,0.761856,-0.669431,0.487903,0.76195,-0.669242
249,1,0.5,0.75,-0.693147,0.486056,0.735861,-0.721432,0.485944,0.735746,-0.721662
250,1,0.5,0.75,-0.693147,0.488095,0.737954,-0.717245,0.488,0.737856,-0.71744
251,1,0.5,0.75,-0.693147,0.490119,0.740021,-0.713108,0.49004,0.739941,-0.713269
252,1,0.5,0.75,-0.693147,0.492126,0.742064,-0.709021,0.492063,0.742001,-0.709148
253,1,0.5,0.75,-0.693147,0.494118,0.744083,-0.704982,0.494071,0.744036,-0.705076
254,1,0.5,0.75,-0.693147,0.496094,0.746078,-0.70099,0.496063,0.746047,-0.701052
255,1,0.5,0.75,-0.693147,0.498054,0.748051,-0.697046,0.498039,0.748035,-0.697076
256,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
257,0,0.5,0.75,-0.693147,0.498069,0.751927,-0.689294,0.498054,0.751942,-0.689264
258,1,0.5,0.75,-0.693147,0.496154,0.746139,-0.700869,0.496124,0.746109,-0.700929
259,1,0.5,0.75,-0.693147,0.498084,0.748081,-0.696986,0.498069,0.748066,-0.697016
260,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
261,1,0.5,0.75,-0.693147,0.498099,0.748095,-0.696957,0.498084,0.748081,-0.696986
262,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
263,1,0.5,0.75,-0.693147,0.501887,0.751883,-0.689381,0.501901,0.751898,-0.689352
264,1,0.5,0.75,-0.693147,0.503759,0.753745,-0.685657,0.503788,0.753774,-0.6856
265,0,0.5,0.75,-0.693147,0.505618,0.74435,-0.704447,0.50566,0.744308,-0.704533
266,1,0.5,0.75,-0.693147,0.503731,0.753717,-0.685712,0.503759,0.753745,-0.685657
267,0,0.5,0.75,-0.693147,0.505576,0.744393,-0.704362,0.505618,0.74435,-0.704447
268,0,0.5,0.75,-0.693147,0.503704,0.746283,-0.700582,0.503731,0.746255,-0.700638
269,1,0.5,0.75,-0.693147,0.501845,0.751842,-0.689464,0.501859,0.751855,-0.689437
